account_value,date,daily_return
964129.1721245425,2022-05-09,-0.010110630847338986
964820.4472500308,2022-05-10,0.0007169943047828919
959991.5036335147,2022-05-11,-0.005005017908025988
959673.9229848636,2022-05-12,-0.00033081610352703184
966940.2104736331,2022-05-13,0.007571621271284856
965663.1103014224,2022-05-16,-0.0013207643641018896
972151.0229556278,2022-05-17,0.006718608782912083
959054.0041083072,2022-05-18,-0.013472206003036225
957125.6370215762,2022-05-19,-0.0020106970811554215
957260.5235762637,2022-05-20,0.00014092878664007102
963207.1615286868,2022-05-23,0.0062121416333005275
960710.9202022402,2022-05-24,-0.002591593403941106
963595.949227875,2022-05-25,0.0030030147102184657
970236.3005793764,2022-05-26,0.006891219661957271
978626.5893617555,2022-05-27,0.008647675599612992
976642.3450640566,2022-05-31,-0.0020275806106934136
973776.3235324709,2022-06-01,-0.0029345661142695656
980513.4610148012,2022-06-02,0.006918567765018757
974544.5751568605,2022-06-03,-0.00608751036601074
975639.0370567323,2022-06-06,0.0011230496046787941
979130.6257295839,2022-06-07,0.0035787709800796375
975098.0920075686,2022-06-08,-0.004118483904035353
966309.0809518129,2022-06-09,-0.009013463494386031
955769.2933688051,2022-06-10,-0.010907263308160275
942267.4895119631,2022-06-13,-0.01412663490082644
941226.4995852053,2022-06-14,-0.0011047711380735015
946158.5382818606,2022-06-15,0.005240012578086928
934450.8816124271,2022-06-16,-0.012373884709314775
935190.9717151492,2022-06-17,0.0007920053555356965
943942.4141244511,2022-06-21,0.009357920118980179
943288.7985618899,2022-06-22,-0.0006924316068236402
946824.9925231021,2022-06-23,0.0037487924870975853
958495.543165375,2022-06-24,0.012325984986067073
957035.588411896,2022-06-27,-0.0015231732311008495
949212.6605834658,2022-06-28,-0.00817412426784625
948902.5754670107,2022-06-29,-0.00032667612783898736
945814.0064627688,2022-06-30,-0.0032548852580802645
949823.6501471866,2022-07-01,0.004239357481513162
950550.004021393,2022-07-05,0.0007647249824678237
951862.3863227846,2022-07-06,0.0013806557212554527
957750.3349037478,2022-07-07,0.006185714096456074
957417.063378052,2022-07-08,-0.00034797328024871454
952796.6886180728,2022-07-11,-0.004825874675428388
949234.6037467349,2022-07-12,-0.0037385571485395452
947124.3646804508,2022-07-13,-0.0022230953843810353
946145.969406525,2022-07-14,-0.0010330166875770486
953851.2438905033,2022-07-15,0.008143853837702775
950431.7923461918,2022-07-18,-0.0035848897469216157
961588.5326873478,2022-07-19,0.0117386017923653
964306.4464565434,2022-07-20,0.002826483133695268
968706.1030469364,2022-07-21,0.0045625087404113085
964625.9247289738,2022-07-22,-0.004211987831117203
965155.5088029179,2022-07-25,0.0005490046041349839
959930.9440933232,2022-07-26,-0.005413184364532864
971323.3138084721,2022-07-27,0.01186790548346095
977002.2197248845,2022-07-28,0.005846566056513014
983727.1710140691,2022-07-29,0.006883250778159322
982329.4227765813,2022-08-01,-0.0014208698088993277
979209.5218703924,2022-08-02,-0.0031760230670586642
986600.6031913152,2022-08-03,0.007548008016512231
986271.8532390142,2022-08-04,-0.0003332148300311255
985449.3503627935,2022-08-05,-0.0008339514845926432
984881.2079293828,2022-08-08,-0.0005765313389283211
982935.5319060369,2022-08-09,-0.0019755438601946063
993227.5661223149,2022-08-10,0.010470711335788696
993224.673429566,2022-08-11,-2.9124168997585187e-06
1001791.6217402349,2022-08-12,0.008625388132060374
1003922.1590808721,2022-08-15,0.0021267270502185465
1004943.2859840398,2022-08-16,0.001017137527975942
1001201.071591187,2022-08-17,-0.003723806552116349
1002726.8710337529,2022-08-18,0.0015239690466382072
995595.3570347601,2022-08-19,-0.007112120164527669
984634.4152316899,2022-08-22,-0.011009434430987897
983378.0577129216,2022-08-23,-0.0012759634432163436
985039.016468781,2022-08-24,0.0016890337778354692
992437.1753613591,2022-08-25,0.00751052371417682
974340.7236575322,2022-08-26,-0.018234354932580743
970904.6858578192,2022-08-29,-0.003526525902370903
965209.0730105597,2022-08-30,-0.005866294529444205
961282.9089412543,2022-08-31,-0.004067682514690252
962894.369867188,2022-09-01,0.0016763648983508794
957421.5436880193,2022-09-02,-0.005683724352779862
955471.9337988286,2022-09-06,-0.0020363129512217526
964752.5139124456,2022-09-07,0.009713085005771616
968205.8983673407,2022-09-08,0.0035795547615524725
976514.218436585,2022-09-09,0.008581150025273043
982380.6097094121,2022-09-12,0.006007481675196935
958254.0599035955,2022-09-13,-0.024559269154297736
960286.6062614751,2022-09-14,0.0021210933957160893
954174.4149931951,2022-09-15,-0.006364965655488608
950092.4588044744,2022-09-16,-0.004277997947314205
954225.4490789494,2022-09-19,0.004350092705372788
948023.0823103948,2022-09-20,-0.00649989661724204
938660.5296501776,2022-09-21,-0.009875869939158122
934207.5374557194,2022-09-22,-0.004743985768867587
925359.0454863287,2022-09-23,-0.009471655509748156
920195.8347637334,2022-09-26,-0.005579683634995614
918868.4161523748,2022-09-27,-0.0014425392522010583
929101.676579987,2022-09-28,0.0111368072378224
917965.2107405706,2022-09-29,-0.011986272460953518
