account_rewards,date
20933.921813964844,2022-05-12
-3637.79248046875,2022-05-13
18367.348266601562,2022-05-16
-36734.76605224598,2022-05-17
-5356.233703613398,2022-05-18
379.4349365234375,2022-05-19
16269.541625976562,2022-05-20
-6762.25634765625,2022-05-23
7766.5284423828125,2022-05-24
17720.19549560547,2022-05-25
22205.98126220703,2022-05-26
-5200.0244140625,2022-05-27
-7454.10986328125,2022-05-31
17407.707397460938,2022-06-01
-15287.515625,2022-06-02
2789.66015625,2022-06-03
8815.431762695312,2022-06-06
-10087.4912109375,2022-06-07
-21826.546325683594,2022-06-08
-25977.667419433594,2022-06-09
-33030.096252441406,2022-06-10
-2521.8032836914062,2022-06-13
11895.194885253906,2022-06-14
-28008.45770263672,2022-06-15
1763.9066772460938,2022-06-16
20643.33221435547,2022-06-17
-1524.135498046875,2022-06-21
8225.979797363281,2022-06-22
26941.548950195312,2022-06-23
-3339.6948242186336,2022-06-24
-17796.73596191418,2022-06-27
-694.8428344726562,2022-06-28
-6925.973693847656,2022-06-29
8943.207763671991,2022-06-30
1613.8845825194148,2022-07-01
2891.3665161132812,2022-07-05
12865.611206054804,2022-07-06
-717.2279663087102,2022-07-07
-9951.7900390625,2022-07-08
-7620.8165283203125,2022-07-11
-4482.796447753906,2022-07-12
-2062.0043334960938,2022-07-13
16182.851379394648,2022-07-14
-7127.6484375,2022-07-15
23131.21020507801,2022-07-18
5603.512939453241,2022-07-19
9010.502197265625,2022-07-20
-8293.204711914179,2022-07-21
1075.876708984375,2022-07-22
-10489.728393554688,2022-07-25
22750.176330566406,2022-07-26
11274.250793457031,2022-07-27
13269.030212402344,2022-07-28
-2734.5315551757812,2022-07-29
-6074.1568603515625,2022-08-01
14322.59130859375,2022-08-02
-627.617919921875,2022-08-03
-1569.0447998046875,2022-08-04
-1075.8071899414062,2022-08-05
-3675.888916015625,2022-08-08
19365.572204589844,2022-08-09
0.0,2022-08-10
15936.406372070429,2022-08-11
3944.8580932616023,2022-08-12
1882.7147216796875,2022-08-15
-6836.155090332031,2022-08-16
2779.3018188476562,2022-08-17
-12887.996337890625,2022-08-18
-19701.974853515625,2022-08-19
-2241.3634643554688,2022-08-22
2958.5914306640625,2022-08-23
13089.810119628906,2022-08-24
-31827.833923339844,2022-08-25
-6007.00146484375,2022-08-26
-9906.950256347656,2022-08-29
-6791.384826660156,2022-08-30
2779.3018188476562,2022-08-31
-9369.15093994129,2022-09-01
-3317.1706542969914,2022-09-02
15734.592590332031,2022-09-06
5827.642333984375,2022-09-07
13941.557434082031,2022-09-08
9794.816040039179,2022-09-09
-40053.74420166027,2022-09-12
3362.0799560546875,2022-09-13
-10041.469604492188,2022-09-14
-6670.838806152227,2022-09-15
6729.304321288946,2022-09-16
-10037.576538085938,2022-09-19
-15079.097534179688,2022-09-20
-7134.391784667969,2022-09-21
-14111.322937011602,2022-09-22
-8192.332580566523,2022-09-23
-2093.0098266601562,2022-09-26
16091.850952148438,2022-09-27
-17419.664672851562,2022-09-28
-12625.979064941406,2022-09-29
