,daily_return,date
2352,121.50262218007789,2009-05-12
2353,121.50262218007789,2009-05-13
2354,121.50262218007789,2009-05-14
2355,121.50262218007789,2009-05-15
2356,121.50262218007789,2009-05-18
2357,121.50262218007789,2009-05-19
2358,121.50262218007789,2009-05-20
2359,121.50262218007789,2009-05-21
2360,121.50262218007789,2009-05-22
2361,121.50262218007789,2009-05-26
2362,121.50262218007789,2009-05-27
2363,121.50262218007789,2009-05-28
2364,121.50262218007789,2009-05-29
2365,124.4439755779145,2009-06-01
2366,124.4439755779145,2009-06-02
2367,124.4439755779145,2009-06-03
2368,125.61329938780057,2009-06-04
2369,125.63991602263992,2009-06-05
2370,125.63991602263992,2009-06-08
2371,126.28041323738685,2009-06-09
2372,125.96015795496895,2009-06-10
2373,126.52055463636695,2009-06-11
2374,126.86749674647895,2009-06-12
2375,126.86749674647895,2009-06-15
2376,126.86749674647895,2009-06-16
2377,126.86749674647895,2009-06-17
2378,126.86749674647895,2009-06-18
2379,126.86749674647895,2009-06-19
2380,126.86749674647895,2009-06-22
2381,126.96693994630415,2009-06-23
2382,128.06106961944508,2009-06-24
2383,130.84628505225234,2009-06-25
2384,130.84628505225234,2009-06-26
2385,130.84628505225234,2009-06-29
2386,130.84628505225234,2009-06-30
2387,130.84628505225234,2009-07-01
2388,130.84628505225234,2009-07-02
2389,130.84628505225234,2009-07-06
2390,130.84628505225234,2009-07-07
2391,130.84628505225234,2009-07-08
2392,131.09911172139888,2009-07-09
2393,131.09911172139888,2009-07-10
2394,131.09911172139888,2009-07-13
2395,131.8411420690426,2009-07-14
2396,135.6970102176357,2009-07-15
2397,135.6970102176357,2009-07-16
2398,135.6970102176357,2009-07-17
2399,135.6970102176357,2009-07-20
2400,136.3245881826719,2009-07-21
2401,136.3245881826719,2009-07-22
2402,139.33500063563136,2009-07-23
2403,139.33500063563136,2009-07-24
2404,139.33500063563136,2009-07-27
2405,139.33500063563136,2009-07-28
2406,139.33500063563136,2009-07-29
2407,140.79044135428688,2009-07-30
2408,140.79044135428688,2009-07-31
2409,143.11295421155094,2009-08-03
2410,143.11295421155094,2009-08-04
2411,143.11295421155094,2009-08-05
2412,143.11295421155094,2009-08-06
2413,143.11295421155094,2009-08-07
2414,143.11295421155094,2009-08-10
2415,143.11295421155094,2009-08-11
2416,143.11295421155094,2009-08-12
2417,143.11295421155094,2009-08-13
2418,143.11295421155094,2009-08-14
2419,143.11295421155094,2009-08-17
2420,143.11295421155094,2009-08-18
2421,143.11295421155094,2009-08-19
2422,143.11295421155094,2009-08-20
2423,143.11295421155094,2009-08-21
2424,143.11295421155094,2009-08-24
2425,143.39094242023984,2009-08-25
2426,143.40488193443537,2009-08-26
2427,143.72453656799638,2009-08-27
2428,143.72453656799638,2009-08-28
2429,142.44544976785392,2009-08-31
2430,142.44544976785392,2009-09-01
2431,142.44544976785392,2009-09-02
2432,142.44544976785392,2009-09-03
