#,Company,Symbol,Weight,Copy All Below Symbol and Paste In TradingView,","
288,Tractor Supply Company,TSCO,0.072199,"TSCO,",","
289,AvalonBay Communities Inc.,AVB,0.071727,"AVB,",","
290,Genuine Parts Company,GPC,0.07143,"GPC,",","
291,Arch Capital Group Ltd.,ACGL,0.071421,"ACGL,",","
292,Fortive Corp.,FTV,0.07134,"FTV,",","
293,Weyerhaeuser Company,WY,0.070476,"WY,",","
294,LyondellBasell Industries NV,LYB,0.070007,"LYB,",","
295,Alexandria Real Estate Equities Inc.,ARE,0.0696,"ARE,",","
296,FirstEnergy Corp.,FE,0.069264,"FE,",","
297,Laboratory Corporation of America Holdings,LH,0.068872,"LH,",","
298,GE Healthcare Technologies Inc.,GEHC,0.068521,"GEHC,",","
299,Fifth Third Bancorp,FITB,0.068274,"FITB,",","
300,Ameren Corporation,AEE,0.068119,"AEE,",","
301,Ingersoll Rand Inc.,IR,0.067952,"IR,",","
302,Raymond James Financial Inc.,RJF,0.067172,"RJF,",","
303,Baxter International Inc.,BAX,0.066908,"BAX,",","
304,DTE Energy Company,DTE,0.066251,"DTE,",","
305,PPL Corporation,PPL,0.066186,"PPL,",","
306,Entergy Corporation,ETR,0.066067,"ETR,",","
307,Martin Marietta Materials Inc.,MLM,0.065879,"MLM,",","
308,ANSYS Inc.,ANSS,0.065811,"ANSS,",","
309,Southwest Airlines Co.,LUV,0.065521,"LUV,",","
310,Nasdaq Inc.,NDAQ,0.064493,"NDAQ,",","
311,Hewlett Packard Enterprise Co.,HPE,0.06304,"HPE,",","
312,Regions Financial Corporation,RF,0.062226,"RF,",","
313,Equity Residential,EQR,0.06209,"EQR,",","
314,Quanta Services Inc.,PWR,0.061946,"PWR,",","
315,Northern Trust Corporation,NTRS,0.061901,"NTRS,",","
316,Xylem Inc.,XYL,0.061412,"XYL,",","
317,Principal Financial Group Inc.,PFG,0.06133,"PFG,",","
318,EPAM Systems Inc.,EPAM,0.061329,"EPAM,",","
319,Huntington Bancshares Incorporated,HBAN,0.061171,"HBAN,",","
320,Citizens Financial Group Inc.,CFG,0.060949,"CFG,",","
321,Cardinal Health Inc.,CAH,0.060936,"CAH,",","
322,Dover Corporation,DOV,0.060707,"DOV,",","
323,Extra Space Storage Inc.,EXR,0.060565,"EXR,",","
324,Church & Dwight Co. Inc.,CHD,0.060202,"CHD,",","
325,VeriSign Inc.,VRSN,0.060021,"VRSN,",","
326,Hologic Inc.,HOLX,0.059918,"HOLX,",","
327,Waters Corporation,WAT,0.059625,"WAT,",","
328,Coterra Energy Inc.,CTRA,0.059424,"CTRA,",","
329,STERIS Plc,STE,0.058852,"STE,",","
330,McCormick & Company Incorporated,MKC,0.058789,"MKC,",","
331,Ventas Inc.,VTR,0.058584,"VTR,",","
332,CenterPoint Energy Inc.,CNP,0.057473,"CNP,",","
333,Teledyne Technologies Incorporated,TDY,0.056922,"TDY,",","
334,Tyson Foods Inc. Class A,TSN,0.056501,"TSN,",","
335,West Pharmaceutical Services Inc.,WST,0.056485,"WST,",","
336,Westinghouse Air Brake Technologies Corporation,WAB,0.056114,"WAB,",","
337,Conagra Brands Inc.,CAG,0.055422,"CAG,",","
338,Steel Dynamics Inc.,STLD,0.054608,"STLD,",","
339,Mid-America Apartment Communities Inc.,MAA,0.054519,"MAA,",","
340,Align Technology Inc.,ALGN,0.054408,"ALGN,",","
341,Darden Restaurants Inc.,DRI,0.054402,"DRI,",","
342,Invitation Homes Inc.,INVH,0.054374,"INVH,",","
343,Las Vegas Sands Corp.,LVS,0.05413,"LVS,",","
344,Amcor PLC,AMCR,0.054128,"AMCR,",","
345,Ball Corporation,BALL,0.054086,"BALL,",","
346,AES Corporation,AES,0.053842,"AES,",","
347,Monolithic Power Systems Inc.,MPWR,0.053526,"MPWR,",","
348,First Solar Inc.,FSLR,0.053517,"FSLR,",","
349,SolarEdge Technologies Inc.,SEDG,0.05348,"SEDG,",","
350,CMS Energy Corporation,CMS,0.053472,"CMS,",","
351,IDEX Corporation,IEX,0.053358,"IEX,",","
352,Expeditors International of Washington Inc.,EXPD,0.053176,"EXPD,",","
353,Clorox Company,CLX,0.052831,"CLX,",","
354,Kellogg Company,K,0.05239,"K,",","
355,Molina Healthcare Inc.,MOH,0.05201,"MOH,",","
356,Marathon Oil Corporation,MRO,0.051893,"MRO,",","
357,Broadridge Financial Solutions Inc.,BR,0.051505,"BR,",","
358,Quest Diagnostics Incorporated,DGX,0.051214,"DGX,",","
359,Omnicom Group Inc,OMC,0.051195,"OMC,",","
360,CF Industries Holdings Inc.,CF,0.05109,"CF,",","
